asr,degradation,snr_db,llm,outcome_col,n,outcome_median,outcome_lo,outcome_hi,absorption_median,absorption_lo,absorption_hi,retention_median,retention_lo,retention_hi,gain_paired_median,gain_paired_lo,gain_paired_hi,gain_ceiling_median,gain_ceiling_lo,gain_ceiling_hi,gain_legacy_median,gain_legacy_lo,gain_legacy_hi,gain_median,tsa_median,gain_crit_minus_func_median,gain_lo,tsa_lo,gain_crit_minus_func_lo,gain_hi,tsa_hi,gain_crit_minus_func_hi
whisper-base-mlx,babble,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.3389423076923077,0.2956730769230769,0.3894230769230769,0.24776119402985075,0.20238007959782153,0.2946476063829787,0.5506787745367823,0.4632352941176471,0.6287878787878788,-0.002186139546520305,-0.07354176807427219,0.06548271712914715,-0.11481357990742923,-0.17789286702316728,-0.04894050404077983,-0.33427778802825076,-0.38020507527235947,-0.2862050422094724,-0.002186139546520305,0.3389423076923077,0.08420861225667053,-0.07354176807427219,0.2956730769230769,-0.06099110393092046,0.06548271712914715,0.3894230769230769,0.22613289424465552
whisper-base-mlx,babble,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.43509615384615385,0.3870192307692308,0.4831730769230769,0.31962025316455694,0.2688498975409836,0.3737470862470862,0.7786259541984732,0.6972477064220184,0.8521739130434782,0.1480482691874659,0.0840801172120947,0.2107567722104496,-0.08453935753156222,-0.14895570002526956,-0.018872434808413458,-0.3440797694211857,-0.39805984675179057,-0.2915380762322485,0.1480482691874659,0.43509615384615385,0.15220775062980574,0.0840801172120947,0.3870192307692308,0.014986879574590764,0.2107567722104496,0.4831730769230769,0.2790020804527036
whisper-base-mlx,clean,,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4639423076923077,0.41586538461538464,0.5120192307692307,0.362867210941316,0.3076923076923077,0.4186959342560553,,,,,,,-0.048516834773088574,-0.11749656737309123,0.023581547507062112,-0.35086329434546637,-0.40685942118465246,-0.2940918096972137,,0.4639423076923077,,,0.41586538461538464,,,0.5120192307692307,
whisper-base-mlx,clipping,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.3269230769230769,0.28125,0.37259615384615385,0.24927951497030854,0.20670160210536037,0.294125816993464,0.4931031202435312,0.41446898496240603,0.574468085106383,-0.022660837259126904,-0.08926417780681327,0.044053427037174527,-0.10072656690895475,-0.16047365846182285,-0.03430624941550181,-0.2687050120002177,-0.3138777525956129,-0.2218180167164804,-0.022660837259126904,0.3269230769230769,0.07399903547429293,-0.08926417780681327,0.28125,-0.059434549633357855,0.044053427037174527,0.37259615384615385,0.20749696544591942
whisper-base-mlx,clipping,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4206730769230769,0.3701923076923077,0.46881009615384583,0.31424255502805354,0.2636327561327561,0.37013891845859054,0.7107438016528925,0.6218487394957983,0.7907029598308667,0.09005542620239737,0.01935385423307034,0.15454753220012743,-0.08301562376640798,-0.14893408786192913,-0.01396255783520146,-0.3448111725107289,-0.39508808728320116,-0.2909831947087194,0.09005542620239737,0.4206730769230769,0.11468217267081027,0.01935385423307034,0.3701923076923077,-0.023307494320613867,0.15454753220012743,0.46881009615384583,0.24661357659346653
whisper-base-mlx,clipping,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4543269230769231,0.40625,0.5,0.3494809688581315,0.2942997560625628,0.4032271285034373,0.8913043478260869,0.8288288288288288,0.9464520676691728,0.2035304309434962,0.1436017531328486,0.25788393394721354,-0.0711647674330288,-0.13852083576704308,-0.001065572879580632,-0.35678403161473854,-0.4118398955044958,-0.30563005073466176,0.2035304309434962,0.4543269230769231,0.03436699737344234,0.1436017531328486,0.40625,-0.08870575965197557,0.25788393394721354,0.5,0.1499931525792271
whisper-base-mlx,codec,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4110576923076923,0.3629807692307692,0.45913461538461536,0.34011627906976744,0.28993868450390187,0.39032828282828275,0.6933333333333334,0.6120550111634829,0.7692592592592592,0.1124050417552751,0.04737091970692121,0.17095934333881024,-0.03435360288587519,-0.10381226759295596,0.035633208374390574,-0.27267000960567267,-0.32231707561058215,-0.2234983040452691,0.1124050417552751,0.4110576923076923,0.05990501592422026,0.04737091970692121,0.3629807692307692,-0.06623502840132418,0.17095934333881024,0.45913461538461536,0.1898680438711175
whisper-base-mlx,codec,10,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.44711538461538464,0.39903846153846156,0.4951923076923077,0.3698630136986301,0.31505891368905065,0.42295081967213116,0.8064516129032258,0.7288102746025489,0.8709677419354839,0.136724200480554,0.06420950016966476,0.20120346591202404,-0.021389204546393314,-0.09291297004639401,0.05376318025761992,-0.3308090578028013,-0.38911755720728153,-0.277609558116021,0.136724200480554,0.44711538461538464,0.08274674728005127,0.06420950016966476,0.39903846153846156,-0.055252878708689064,0.20120346591202404,0.4951923076923077,0.21207438867145037
whisper-base-mlx,codec,20,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.47596153846153844,0.42788461538461536,0.5240384615384616,0.38461538461538464,0.3309368327402135,0.4463667820069204,0.9107142857142857,0.8518426842684268,0.9600079365079365,0.2307062557350078,0.17531664240793124,0.28205955120821613,-0.02406243514248191,-0.09437130679629231,0.05048614935445316,-0.33097534581269517,-0.38777138461593597,-0.27428728451990225,0.2307062557350078,0.47596153846153844,0.1092419285084773,0.17531664240793124,0.42788461538461536,-0.005916776111977806,0.28205955120821613,0.5240384615384616,0.2151900515736891
whisper-base-mlx,farfield,0,mlx-community/Qwen3.5-9B-MLX-8bit,ees,416,0.4326923076923077,0.38461538461538464,0.47836538461538464,0.3501630394374874,0.30158608058608055,0.40384615384615385,0.7415229885057472,0.6638637351492321,0.8181818181818182,0.0986217884906978,0.025035181442504106,0.17569185812338056,-0.029515089317173393,-0.10052629524975042,0.04495863867666446,-0.3251141827590349,-0.37870190971334,-0.27023860701663344,0.0986217884906978,0.4326923076923077,0.1922537409352741,0.025035181442504106,0.38461538461538464,0.042951160835291345,0.17569185812338056,0.47836538461538464,0.3343344835343859
