comparison,role,degradation,snr_db,scope,n_pairs,cascade_rate,omni_rate,gain_pathway,ci_lo,ci_hi,underpowered
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,noise,20,cell,252,0.47619047619047616,0.46825396825396826,-0.007936507936507908,-0.0717203187250996,0.05882352941176466,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,reverb,0,cell,357,0.2801120448179272,0.08403361344537816,-0.19607843137254902,-0.24793444727182648,-0.14654990286546868,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,reverb,10,cell,281,0.4199288256227758,0.2597864768683274,-0.16014234875444838,-0.22848008171603676,-0.09926400426582846,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,reverb,20,cell,242,0.5082644628099173,0.4297520661157025,-0.07851239669421484,-0.1417004048582996,-0.01990493623959766,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,babble,pooled,degradation,857,0.3687281213535589,0.3208868144690782,-0.04784130688448074,,,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,clipping,pooled,degradation,718,0.5,0.4554317548746518,-0.04456824512534818,,,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,codec,pooled,degradation,705,0.4836879432624113,0.44680851063829785,-0.03687943262411347,,,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,farfield,pooled,degradation,694,0.5086455331412104,0.4538904899135447,-0.05475504322766572,,,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,noise,pooled,degradation,916,0.36790393013100436,0.3558951965065502,-0.012008733624454149,,,False
gemma-4-12B-it-qat-w4a16-ct vs gemma-4-31B-it-qat-w4a16-ct,confirmatory,reverb,pooled,degradation,880,0.3875,0.23522727272727273,-0.15227272727272728,,,False
