asr,degradation,snr_db,llm,outcome,n,n_scored,n_err,n_ceiling,n_collapse,mean_wer_all,median_wer,mean_wer_err,mean_outcome,ceiling,absorption,naive_legacy,naive_ceiling,gain_legacy,gain_ceiling,n_paired,n_dropped_no_anchor,mean_wer_paired,retention,naive_paired,gain_paired,underpowered,n_calibrated,mean_observed,mean_predicted,gain_calibrated,share_at_high_wer,n_clean_at_high_wer,refused
whisper-base-mlx,babble,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,338,78,21,0.4170617266670641,0.35714285714285715,0.5133067405133099,0.3870192307692308,0.7435897435897436,0.3047337278106509,0.5829382733329359,0.3619001160285644,-0.278204545522285,-0.05716638821791353,164,0,0.43238380556492023,0.5670731707317073,0.5676161944350797,-0.0005430237033724472,False,416,0.3870192307692308,0.4270767146819664,-0.040057483912735614,0.18509615384615385,31,
whisper-base-mlx,babble,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,304,112,12,0.3371699651145833,0.2727272727272727,0.4613904785778514,0.49759615384615385,0.7946428571428571,0.3881578947368421,0.6628300348854167,0.42800220898724306,-0.2746721401485746,-0.03984431425040097,134,0,0.3625846660194079,0.8059701492537313,0.6374153339805921,0.1685548152731392,False,416,0.49759615384615385,0.49034802455309906,0.007248129293054795,0.125,31,
whisper-base-mlx,clean,,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,290,126,9,0.28608445452755454,0.2222222222222222,0.41038321752918233,0.5288461538461539,0.7698412698412699,0.4241379310344828,0.7139155454724455,0.453911332537058,-0.28977761443796274,-0.029773401502575236,0,0,,,,,True,0,,,,,,
whisper-base-mlx,clipping,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,357,59,30,0.48233641012715994,0.42857142857142855,0.5620502706243655,0.35336538461538464,0.847457627118644,0.27170868347338933,0.5176635898728401,0.3711438384539275,-0.24595490639945078,-0.09943515498053818,174,0,0.48576535137934235,0.4827586206896552,0.5142346486206577,-0.031476027931002515,False,416,0.35336538461538464,0.37967801014203645,-0.02631262552665181,0.2644230769230769,31,
whisper-base-mlx,clipping,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,312,104,17,0.3413147519516778,0.2857142857142857,0.4550863359355711,0.47836538461538464,0.7980769230769231,0.3717948717948718,0.6586852480483222,0.43488302035911164,-0.2868903762534504,-0.06308814856423983,141,0,0.36039861188978506,0.7375886524822695,0.6396013881102149,0.09798726437205452,False,416,0.47836538461538464,0.4856039101961081,-0.007238525580723465,0.12740384615384615,31,
whisper-base-mlx,clipping,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,297,119,9,0.2932530161538368,0.25,0.4107516993939271,0.5264423076923077,0.8067226890756303,0.41414141414141414,0.7067469838461632,0.4753599735981765,-0.29260556970474905,-0.061218559456762356,127,0,0.29383616692769293,0.905511811023622,0.706163833072307,0.19934797795131498,False,416,0.5264423076923077,0.5224090582165416,0.00403324947576611,0.07211538461538461,31,
whisper-base-mlx,codec,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,338,78,20,0.38747811681443556,0.3333333333333333,0.47689614377161327,0.4519230769230769,0.7692307692307693,0.378698224852071,0.6125218831855644,0.4023875817141437,-0.23382365833349344,-0.023689356862072686,164,0,0.4112760599907116,0.6890243902439024,0.5887239400092884,0.10030045023461398,False,416,0.4519230769230769,0.4497249466765122,0.0021981302465647334,0.1466346153846154,31,
whisper-base-mlx,codec,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,304,112,8,0.2991094136763119,0.25,0.4093076187149538,0.5264423076923077,0.7589285714285714,0.4407894736842105,0.7008905863236881,0.4482933250824011,-0.26010111263947755,-0.007503851398190597,138,0,0.31957298421156266,0.8623188405797102,0.6804270157884373,0.18189182479127286,False,416,0.5264423076923077,0.5179783433354564,0.008463964356851261,0.07932692307692307,31,
whisper-base-mlx,codec,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,291,125,5,0.2828850841000309,0.2222222222222222,0.40439929548320636,0.5264423076923077,0.76,0.4261168384879725,0.7171149158999691,0.45265653543276324,-0.2909980774119966,-0.026539696944790747,129,0,0.29322043678728804,0.9069767441860465,0.706779563212712,0.2001971809733345,False,416,0.5264423076923077,0.5314200717674141,-0.004977764075106417,0.07451923076923077,31,
whisper-base-mlx,farfield,0,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,311,105,15,0.32481262241296227,0.25,0.4344760479864709,0.49278846153846156,0.7619047619047619,0.40192926045016075,0.6751873775870377,0.4308753920103079,-0.273258117136877,-0.028946131560147137,144,0,0.343998492662547,0.7986111111111112,0.656001507337453,0.14260960377365817,False,416,0.49278846153846156,0.49833207095363447,-0.005543609415172901,0.11298076923076923,31,
whisper-base-mlx,farfield,10,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,298,118,15,0.2991874129536183,0.25,0.41765759660639373,0.5,0.7796610169491526,0.38926174496644295,0.7008125870463817,0.45402967044247267,-0.3115508420799388,-0.06476792547602972,132,0,0.3272827286662425,0.8106060606060606,0.6727172713337575,0.13788878927230308,False,416,0.5,0.5187376727341128,-0.018737672734112754,0.08413461538461539,31,
whisper-base-mlx,farfield,20,google/gemma-4-31B-it-qat-w4a16-ct,ees,416,416,290,126,9,0.28864171925252285,0.2222222222222222,0.4140515696863784,0.5168269230769231,0.7857142857142857,0.4,0.7113582807474772,0.46038805238927405,-0.3113582807474772,-0.06038805238927403,123,0,0.30689986936022556,0.9186991869918699,0.6931001306397744,0.22559905635209554,False,416,0.5168269230769231,0.527159822643316,-0.010332899566392828,0.07932692307692307,31,
